0 492 blocks     4 its      1.250 Fl/B        823 GB/s      1028 GF/s   1942 Mhz   129 W   39°C
1 492 blocks     4 its      1.250 Fl/B        823 GB/s      1028 GF/s   2805 Mhz   177 W   49°C

0 492 blocks     6 its      1.750 Fl/B        822 GB/s      1438 GF/s   1942 Mhz   130 W   41°C
1 492 blocks     6 its      1.750 Fl/B        822 GB/s      1439 GF/s   2805 Mhz   179 W   51°C

0 492 blocks     8 its      2.250 Fl/B        821 GB/s      1848 GF/s   1942 Mhz   130 W   42°C
1 492 blocks     8 its      2.250 Fl/B        821 GB/s      1848 GF/s   2805 Mhz   180 W   53°C

0 492 blocks    10 its      2.750 Fl/B        817 GB/s      2246 GF/s   1942 Mhz   131 W   44°C
1 492 blocks    10 its      2.750 Fl/B        824 GB/s      2266 GF/s   2797 Mhz   184 W   55°C

0 492 blocks    12 its      3.250 Fl/B        817 GB/s      2655 GF/s   1942 Mhz   131 W   45°C
1 492 blocks    12 its      3.250 Fl/B        826 GB/s      2686 GF/s   2797 Mhz   184 W   57°C

0 492 blocks    14 its      3.750 Fl/B        817 GB/s      3064 GF/s   1942 Mhz   132 W   46°C
1 492 blocks    14 its      3.750 Fl/B        827 GB/s      3100 GF/s   2797 Mhz   186 W   59°C

0 492 blocks    16 its      4.250 Fl/B        817 GB/s      3473 GF/s   1942 Mhz   133 W   47°C
1 492 blocks    16 its      4.250 Fl/B        827 GB/s      3513 GF/s   2797 Mhz   188 W   60°C

0 492 blocks    18 its      4.750 Fl/B        817 GB/s      3883 GF/s   1942 Mhz   134 W   48°C
1 492 blocks    18 its      4.750 Fl/B        827 GB/s      3927 GF/s   2797 Mhz   190 W   62°C

0 492 blocks    20 its      5.250 Fl/B        817 GB/s      4291 GF/s   1942 Mhz   135 W   49°C
1 492 blocks    20 its      5.250 Fl/B        826 GB/s      4339 GF/s   2782 Mhz   192 W   64°C

0 492 blocks    22 its      5.750 Fl/B        792 GB/s      4555 GF/s   1942 Mhz   133 W   50°C
1 492 blocks    22 its      5.750 Fl/B        827 GB/s      4754 GF/s   2782 Mhz   194 W   66°C

0 492 blocks    24 its      6.250 Fl/B        795 GB/s      4968 GF/s   1942 Mhz   135 W   51°C
1 492 blocks    24 its      6.250 Fl/B        827 GB/s      5168 GF/s   2782 Mhz   196 W   67°C

0 492 blocks    32 its      8.250 Fl/B        797 GB/s      6576 GF/s   1942 Mhz   137 W   52°C
1 492 blocks    32 its      8.250 Fl/B        827 GB/s      6821 GF/s   2775 Mhz   200 W   69°C

0 492 blocks    36 its      9.250 Fl/B        799 GB/s      7392 GF/s   1942 Mhz   138 W   53°C
1 492 blocks    36 its      9.250 Fl/B        827 GB/s      7647 GF/s   2752 Mhz   200 W   70°C

0 492 blocks    40 its      10.250 Fl/B        801 GB/s      8208 GF/s   1942 Mhz   141 W   54°C
