0 492 blocks     6 its      1.750 Fl/B        428 GB/s       749 GF/s   427 Mhz   83 W   39°C
1 492 blocks     6 its      1.750 Fl/B        823 GB/s      1441 GF/s   2805 Mhz   178 W   51°C

0 492 blocks     8 its      2.250 Fl/B        428 GB/s       964 GF/s   427 Mhz   84 W   40°C
1 492 blocks     8 its      2.250 Fl/B        823 GB/s      1851 GF/s   2805 Mhz   180 W   52°C

0 492 blocks    10 its      2.750 Fl/B        426 GB/s      1171 GF/s   427 Mhz   84 W   41°C
1 492 blocks    10 its      2.750 Fl/B        826 GB/s      2270 GF/s   2797 Mhz   182 W   54°C

0 492 blocks    12 its      3.250 Fl/B        426 GB/s      1384 GF/s   427 Mhz   84 W   42°C
1 492 blocks    12 its      3.250 Fl/B        826 GB/s      2684 GF/s   2797 Mhz   183 W   55°C

0 492 blocks    14 its      3.750 Fl/B        426 GB/s      1597 GF/s   427 Mhz   85 W   43°C
1 492 blocks    14 its      3.750 Fl/B        826 GB/s      3097 GF/s   2797 Mhz   184 W   57°C

0 492 blocks    16 its      4.250 Fl/B        426 GB/s      1811 GF/s   427 Mhz   85 W   44°C
1 492 blocks    16 its      4.250 Fl/B        825 GB/s      3508 GF/s   2797 Mhz   186 W   58°C

0 492 blocks    18 its      4.750 Fl/B        426 GB/s      2024 GF/s   427 Mhz   85 W   44°C
1 492 blocks    18 its      4.750 Fl/B        826 GB/s      3923 GF/s   2797 Mhz   188 W   59°C

0 492 blocks    20 its      5.250 Fl/B        426 GB/s      2237 GF/s   427 Mhz   86 W   45°C
1 492 blocks    20 its      5.250 Fl/B        822 GB/s      4318 GF/s   2797 Mhz   189 W   60°C

0 492 blocks    22 its      5.750 Fl/B        415 GB/s      2384 GF/s   427 Mhz   85 W   45°C
1 492 blocks    22 its      5.750 Fl/B        826 GB/s      4751 GF/s   2797 Mhz   193 W   62°C

0 492 blocks    24 its      6.250 Fl/B        415 GB/s      2591 GF/s   427 Mhz   85 W   46°C
1 492 blocks    24 its      6.250 Fl/B        826 GB/s      5164 GF/s   2797 Mhz   194 W   63°C

0 492 blocks    28 its      7.250 Fl/B        414 GB/s      3003 GF/s   427 Mhz   86 W   47°C
1 492 blocks    28 its      7.250 Fl/B        826 GB/s      5985 GF/s   2782 Mhz   195 W   64°C

0 492 blocks    32 its      8.250 Fl/B        413 GB/s      3409 GF/s   427 Mhz   86 W   47°C
1 492 blocks    32 its      8.250 Fl/B        827 GB/s      6820 GF/s   2782 Mhz   199 W   64°C

0 492 blocks    36 its      9.250 Fl/B        411 GB/s      3805 GF/s   435 Mhz   87 W   48°C
1 492 blocks    36 its      9.250 Fl/B        827 GB/s      7646 GF/s   2775 Mhz   200 W   65°C

0 492 blocks    54 its      13.750 Fl/B        370 GB/s      5082 GF/s   435 Mhz   86 W   48°C
